Song,Artist,Decade,Clip,Retired,Featured
Crazy Little Thing Called Love,Queen,70s,https://www.youtube.com/watch?v=P8OATV6exEg,,
Baby I Love Your Way,Peter Frampton,70s,,,
What I Like About You,The New Romantics,80s,,,
I Want You to Want Me,Cheap Trick,70s,,,
Hard To Handle,Black Crowes,90s,https://www.youtube.com/watch?v=Sre06uSB1VE,,
Hush,Deep Purple,60s,https://www.facebook.com/watersideroadband/videos/591852662209626,,
Stuck in the Middle,Stealer's Wheel,70s,https://youtu.be/wMo_KyEt_oI?t=1409,,
Back in the USSR,The Beatles,70s,https://youtu.be/IENM8m51tks?t=10,,
Don't Stop Believing,Journey,80s,https://youtu.be/x6QEauDm1rI,,
Hit Me with Your Best Shot,Pat Benatar,80s,https://youtu.be/PdJIglYlC_U?t=2,,
Norwegian Wood,The Beatles,70s,,1,
Don't Let Me Down,The Beatles,70s,,,
I Need to Know,Tom Petty and the Heartbreakers,70s,,,
Who'll Stop the Rain,Creedence Clearwater Revival,70s,,1,
Sharp Dressed Man,ZZ Top,80s,,,
Twist and Shout,The Beatles,60s,,,
Spooky,Atlanta Rhythym Section,Halloween,,,
China Grove,Doobie Brothers,70s,https://www.youtube.com/watch?v=f0F6E6fIU2E,,
Take It On The Run,REO Speedwagon,80s,,,
Show Me The Way,Peter Frampton,70s,,1,
One Way Or Another,Blondie,80s,https://youtu.be/DSnAFkavGuM?t=224,,
Hotel California,The Eagles,70s,,1,
Fat Bottomed Girls,Queen,70s,,,
Already Gone,The Eagles,70s,,1,
Long Train Runnin',Doobie Brothers,70s,https://www.youtube.com/watch?v=ZFeLWm5eINY,,
Play That Funky Music,Wild Cherry,70s,https://www.youtube.com/watch?v=XWTSQkyVczg,,
Open Arms,Journey,80s,https://www.youtube.com/watch?v=g7hUCW4rRkI,,
Stop Draggin' My Heart Around,Stevie Nicks and Tom Petty,80s,https://www.facebook.com/watersideroadband/videos/174211901132117,,
Mony Mony,Billy Idol,80s,https://youtu.be/4aoZ3wTQzcc?t=72,,
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,90s,https://youtu.be/zRxBnsPIOxU,,
Gimme Some Lovin',Steve Winwood,60s,https://www.facebook.com/watersideroadband/videos/1065659080762876,,
Ordinary World,Duran Duran,90s,https://youtube.com/watch?v=gZPahIu_c28,,
Never Been Any Reason,Head East,70s,https://youtu.be/wMo_KyEt_oI?t=587,,
Alright Now,Free,70s,,,
867-5309,Tommy Tutone,80s,https://youtu.be/pq43QWUYJ3I?t=90,,
Power of Love,Huey Lewis and the News,80s,https://www.youtube.com/watch?v=b9JJ2jk-TZA,,
Feelin' Alright,Joe Cocker,70s,https://www.facebook.com/watersideroadband/videos/819668625281435,,
You May Be Right,Billy Joel,80s,https://youtu.be/fkrCcRFgL98?t=57,,
Joy To The World,Three Dog Night,70s,https://youtu.be/MegRBZhtn2U?t=5,,
Call Me,Blondie,80s,https://www.facebook.com/watersideroadband/videos/3114656912181045,,
Blue Collar Man,Styx,80s,,,
Squeeze Box,The Who,70s,https://youtu.be/80qeBzPhjZ8?t=14,1,
Walking on Sunshine,Katrina and the Waves,90s,https://youtu.be/LNmjeA8kC6Y?t=305,,
I Love Rock n' Roll,Joan Jett & the Blackhearts,80s,,,
Where the Streets Have No Name,U2,80s,,,
It's Only Love,Bryan Adams and Tina Turner,80s,,,
Barracuda,Heart,70s,https://www.facebook.com/watersideroadband/videos/2857589661207518,,
Smooth,Santana and Rob Thomas,90s,https://www.facebook.com/watersideroadband/videos/1881852228672669,,
I'm Still Standing,Elton John,80s,,,
Sweet Caroline,Neil Diamond,70s,,,
Footloose,Kenny Loggins,70s,https://youtu.be/QNnvS_Esu_c,,
Don't Speak,No Doubt,90s,https://youtu.be/nnYBFsmF34A?t=91,,
R.O.C.K in the USA,John Mellencamp,80s,https://www.youtube.com/watch?v=DSnAFkavGuM,,
Sweet Child of Mine,Guns n' Roses,80s,,,
Love Shack,The B-52's ,80s,https://www.facebook.com/watersideroadband/videos/5863313643720458,,
Careless Whisper,George Michael,80s,,,
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,60s,https://youtu.be/k6m8S9IvYfA,,
I Just Want To Celebrate,Rare Earth,70s,,1,
Time Warp,The Rocky Horror Show,70s,https://youtu.be/wMo_KyEt_oI?t=2955,,
Africa,Toto,80s,https://www.facebook.com/watersideroadband/videos/896945085015627,,
Zombie,The Cranberries,90s,,,
Ballroom Blitz,Sweet,70s,https://youtu.be/IA2XM-gsh2g,,
Run Rudolph Run,Chuck Berry,Christmas,,,
Please Come Home For Christmas,The Eagles,Christmas,,,
Jingle Bell Rock,Bobby Helms,Christmas,,,
I Put A Spell On You,Annie Lennox,Halloween,,,
Sweet Dreams,Annie Lennox,80s,https://youtu.be/s_L9_RgQ1EA,,
Livin' On A Prayer,Bon Jovi,80s,,,
Decode,Paramore,00s,,1,
Sunglasses at Night,Corey Hart,80s,,,
Girls Just Wanna Have Fun,Cyndi Lauper,80s,,,
Everybody Have Fun Tonight,Wang Chung,80s,,,
Never Gonna Give You Up,Rick Astley,80s,,,
Highway To Hell,AC/DC,70s,,,
Two Tickets To Paradise,Eddie Money,80s,https://youtu.be/Dc6zDQ2hvfw,,
